Standard Stats,Standard Stats,Standard Stats,season,competition
Statistic,Per 90,Percentile,,
Non-Penalty Goals,1.16,99.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
npxG: Non-Penalty xG,0.48,78.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Shots Total,3.84,94.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Assists,0.23,83.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
xAG: Exp. Assisted Goals,0.09,39.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
npxG + xAG,0.57,71.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Shot-Creating Actions,4.31,97.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
,,,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Passes Attempted,27.48,89.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Pass Completion %,68.6%,40.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Progressive Passes,4.08,96.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Progressive Carries,2.79,94.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Successful Take-Ons,3.03,99.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Touches (Att Pen),5.47,73.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Progressive Passes Rec,6.99,88.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
,,,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Tackles,1.40,97.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Interceptions,0.35,85.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Blocks,0.58,52.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Clearances,0.82,53.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Aerials Won,3.14,77.0,2024-2025,"Men's Big 5 Leagues, UCL, UEL"
Non-Penalty Goals,1.47,98.0,2025-2026,Europa League
npxG: Non-Penalty xG,0.49,65.0,2025-2026,Europa League
Shots Total,4.89,98.0,2025-2026,Europa League
Assists,0.00,44.0,2025-2026,Europa League
xAG: Exp. Assisted Goals,0.05,65.0,2025-2026,Europa League
npxG + xAG,0.54,65.0,2025-2026,Europa League
Shot-Creating Actions,4.40,98.0,2025-2026,Europa League
,,,2025-2026,Europa League
Passes Attempted,23.48,90.0,2025-2026,Europa League
Pass Completion %,64.6%,31.0,2025-2026,Europa League
Progressive Passes,4.40,94.0,2025-2026,Europa League
Progressive Carries,3.91,98.0,2025-2026,Europa League
Successful Take-Ons,1.96,94.0,2025-2026,Europa League
Touches (Att Pen),6.36,90.0,2025-2026,Europa League
Progressive Passes Rec,7.34,94.0,2025-2026,Europa League
,,,2025-2026,Europa League
Tackles,3.91,98.0,2025-2026,Europa League
Interceptions,0.00,35.0,2025-2026,Europa League
Blocks,0.49,56.0,2025-2026,Europa League
Clearances,0.49,27.0,2025-2026,Europa League
Aerials Won,0.98,15.0,2025-2026,Europa League
Non-Penalty Goals,0.78,94.0,2024-2025,Europa League
npxG: Non-Penalty xG,0.25,24.0,2024-2025,Europa League
Shots Total,2.75,62.0,2024-2025,Europa League
Assists,0.20,68.0,2024-2025,Europa League
xAG: Exp. Assisted Goals,0.08,36.0,2024-2025,Europa League
npxG + xAG,0.33,18.0,2024-2025,Europa League
Shot-Creating Actions,3.33,82.0,2024-2025,Europa League
,,,2024-2025,Europa League
Passes Attempted,27.84,94.0,2024-2025,Europa League
Pass Completion %,69.0%,33.0,2024-2025,Europa League
Progressive Passes,3.53,96.0,2024-2025,Europa League
Progressive Carries,1.96,72.0,2024-2025,Europa League
Successful Take-Ons,3.33,98.0,2024-2025,Europa League
Touches (Att Pen),3.92,28.0,2024-2025,Europa League
Progressive Passes Rec,7.45,86.0,2024-2025,Europa League
,,,2024-2025,Europa League
Tackles,0.39,16.0,2024-2025,Europa League
Interceptions,0.20,51.0,2024-2025,Europa League
Blocks,0.59,46.0,2024-2025,Europa League
Clearances,0.98,66.0,2024-2025,Europa League
Aerials Won,4.31,92.0,2024-2025,Europa League
Non-Penalty Goals,1.16,99.0,Unknown,View Complete Scouting Report
npxG: Non-Penalty xG,0.48,78.0,Unknown,View Complete Scouting Report
Shots Total,3.84,94.0,Unknown,View Complete Scouting Report
Assists,0.23,83.0,Unknown,View Complete Scouting Report
xAG: Exp. Assisted Goals,0.09,39.0,Unknown,View Complete Scouting Report
npxG + xAG,0.57,71.0,Unknown,View Complete Scouting Report
Shot-Creating Actions,4.31,97.0,Unknown,View Complete Scouting Report
,,,Unknown,View Complete Scouting Report
Passes Attempted,27.48,89.0,Unknown,View Complete Scouting Report
Pass Completion %,68.6%,40.0,Unknown,View Complete Scouting Report
Progressive Passes,4.08,96.0,Unknown,View Complete Scouting Report
Progressive Carries,2.79,94.0,Unknown,View Complete Scouting Report
Successful Take-Ons,3.03,99.0,Unknown,View Complete Scouting Report
Touches (Att Pen),5.47,73.0,Unknown,View Complete Scouting Report
Progressive Passes Rec,6.99,88.0,Unknown,View Complete Scouting Report
,,,Unknown,View Complete Scouting Report
Tackles,1.40,97.0,Unknown,View Complete Scouting Report
Interceptions,0.35,85.0,Unknown,View Complete Scouting Report
Blocks,0.58,52.0,Unknown,View Complete Scouting Report
Clearances,0.82,53.0,Unknown,View Complete Scouting Report
Aerials Won,3.14,77.0,Unknown,View Complete Scouting Report
